ability_id|ability_name|ability_description|cargar_datetime
65|overgrow|Powers up Grass-type moves when the Pokémon's HP is low.|2024-08-04 13:58:21.646308
34|chlorophyll|Boosts the Pokémon's Speed stat in harsh sunlight.|2024-08-04 13:58:21.646308
66|blaze|Powers up Fire-type moves when the Pokémon's HP is low.|2024-08-04 13:58:21.646308
94|solar-power|In harsh sunlight, the Pokémon's Sp. Atk stat is boosted, but its HP decreases every turn.|2024-08-04 13:58:21.646308
67|torrent|Powers up Water-type moves when the Pokémon's HP is low.|2024-08-04 13:58:21.646308
44|rain-dish|The Pokémon gradually regains HP in rain.|2024-08-04 13:58:21.646308
19|shield-dust|Protective dust shields the Pokémon from the additional effects of moves.|2024-08-04 13:58:21.646308
50|run-away|Enables a sure getaway from wild Pokémon.|2024-08-04 13:58:21.646308
61|shed-skin|The Pokémon may cure its own status conditions by shedding its skin.|2024-08-04 13:58:21.646308
14|compound-eyes|The Pokémon's compound eyes boost its accuracy.|2024-08-04 13:58:21.646308
110|tinted-lens|The Pokémon can use “not very effective” moves to deal regular damage.|2024-08-04 13:58:21.646308
68|swarm|Powers up Bug-type moves when the Pokémon's HP is low.|2024-08-04 13:58:21.646308
97|sniper|If the Pokémon's attack lands a critical hit, the attack is powered up even further.|2024-08-04 13:58:21.646308
51|keen-eye|The Pokémon's keen eyes prevent its accuracy from being lowered.|2024-08-04 13:58:21.646308
77|tangled-feet|Boosts the Pokémon's evasiveness if it is confused.|2024-08-04 13:58:21.646308
145|big-pecks|Prevents the Pokémon from having its Defense stat lowered.|2024-08-04 13:58:21.646308
62|guts|It's so gutsy that having a status condition boosts the Pokémon's Attack stat.|2024-08-04 13:58:21.646308
55|hustle|Boosts the Pokémon's Attack stat but lowers its accuracy.|2024-08-04 13:58:21.646308
22|intimidate|When the Pokémon enters a battle, it intimidates opposing Pokémon and makes them cower, lowering their Attack stats.|2024-08-04 13:58:21.646308
127|unnerve|Unnerves opposing Pokémon and makes them unable to eat Berries.|2024-08-04 13:58:21.646308
9|static|The Pokémon is charged with static electricity and may paralyze attackers that make direct contact with it.|2024-08-04 13:58:21.646308
31|lightning-rod|The Pokémon draws in all Electric-type moves. Instead of taking damage from them, its Sp. Atk stat is boosted.|2024-08-04 13:58:21.646308
8|sand-veil|Boosts the Pokémon's evasiveness in a sandstorm.|2024-08-04 13:58:21.646308
146|sand-rush|Boosts the Pokémon's Speed stat in a sandstorm.|2024-08-04 13:58:21.646308
38|poison-point|Contact with the Pokémon may poison the attacker.|2024-08-04 13:58:21.646308
79|rivalry|The Pokémon's competitive spirit makes it deal more damage to Pokémon of the same gender, but less damage to Pokémon of the opposite gender.|2024-08-04 13:58:21.646308
125|sheer-force|Removes any additional effects from the Pokémon's moves, but increases the moves' power.|2024-08-04 13:58:21.646308
56|cute-charm|The Pokémon may infatuate attackers that make direct contact with it.|2024-08-04 13:58:21.646308
98|magic-guard|The Pokémon only takes damage from attacks.|2024-08-04 13:58:21.646308
132|friend-guard|Reduces damage dealt to allies.|2024-08-04 13:58:21.646308
109|unaware|When attacking, the Pokémon ignores the target's stat changes.|2024-08-04 13:58:21.646308
18|flash-fire|If hit by a Fire-type move, the Pokémon absorbs the flames and uses them to power up its own Fire-type moves.|2024-08-04 13:58:21.646308
70|drought|Turns the sunlight harsh when the Pokémon enters a battle.|2024-08-04 13:58:21.646308
172|competitive|Boosts the Pokémon's Sp. Atk stat sharply when its stats are lowered by an opposing Pokémon.|2024-08-04 13:58:21.646308
119|frisk|When it enters a battle, the Pokémon can check an opposing Pokémon's held item.|2024-08-04 13:58:21.646308
39|inner-focus|The Pokémon's intense focus prevents it from flinching or being affected by Intimidate.|2024-08-04 13:58:21.646308
151|infiltrator|The Pokémon's moves are unaffected by the target's barriers, substitutes, and the like.|2024-08-04 13:58:21.646308
1|stench|By releasing a stench when attacking, the Pokémon may cause the target to flinch.|2024-08-04 13:58:21.646308
27|effect-spore|Contact with the Pokémon may inflict poison, sleep, or paralysis on the attacker.|2024-08-04 13:58:21.646308
87|dry-skin|Restores the Pokémon's HP in rain or when it is hit by Water-type moves. Reduces HP in harsh sunlight, and increases the damage received from Fire-type moves.|2024-08-04 13:58:21.646308
6|damp|The Pokémon dampens its surroundings, preventing all Pokémon from using explosive moves such as Self-Destruct.|2024-08-04 13:58:21.646308
147|wonder-skin|Makes status moves more likely to miss the Pokémon.|2024-08-04 13:58:21.646308
71|arena-trap|Prevents opposing Pokémon from fleeing from battle.|2024-08-04 13:58:21.646308
159|sand-force|Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm. |2024-08-04 13:58:21.646308
53|pickup|The Pokémon may pick up an item another Pokémon used during a battle. It may pick up items outside of battle, too.|2024-08-04 13:58:21.646308
101|technician|Powers up weak moves so the Pokémon can deal more damage with them.|2024-08-04 13:58:21.646308
7|limber|The Pokémon's limber body prevents it from being paralyzed.|2024-08-04 13:58:21.646308
13|cloud-nine|Eliminates the effects of weather.|2024-08-04 13:58:21.646308
