pkmn_id|name|stat|effort|cargar_datetime
1|hp|45|0|2024-08-04 13:58:21.647308
1|attack|49|0|2024-08-04 13:58:21.647308
1|defense|49|0|2024-08-04 13:58:21.647308
1|special-attack|65|1|2024-08-04 13:58:21.647308
1|special-defense|65|0|2024-08-04 13:58:21.647308
1|speed|45|0|2024-08-04 13:58:21.647308
2|hp|60|0|2024-08-04 13:58:21.647308
2|attack|62|0|2024-08-04 13:58:21.647308
2|defense|63|0|2024-08-04 13:58:21.647308
2|special-attack|80|1|2024-08-04 13:58:21.647308
2|special-defense|80|1|2024-08-04 13:58:21.647308
2|speed|60|0|2024-08-04 13:58:21.647308
3|hp|80|0|2024-08-04 13:58:21.647308
3|attack|82|0|2024-08-04 13:58:21.647308
3|defense|83|0|2024-08-04 13:58:21.647308
3|special-attack|100|2|2024-08-04 13:58:21.647308
3|special-defense|100|1|2024-08-04 13:58:21.647308
3|speed|80|0|2024-08-04 13:58:21.647308
4|hp|39|0|2024-08-04 13:58:21.647308
4|attack|52|0|2024-08-04 13:58:21.647308
4|defense|43|0|2024-08-04 13:58:21.647308
4|special-attack|60|0|2024-08-04 13:58:21.647308
4|special-defense|50|0|2024-08-04 13:58:21.647308
4|speed|65|1|2024-08-04 13:58:21.647308
5|hp|58|0|2024-08-04 13:58:21.647308
5|attack|64|0|2024-08-04 13:58:21.647308
5|defense|58|0|2024-08-04 13:58:21.647308
5|special-attack|80|1|2024-08-04 13:58:21.647308
5|special-defense|65|0|2024-08-04 13:58:21.647308
5|speed|80|1|2024-08-04 13:58:21.647308
6|hp|78|0|2024-08-04 13:58:21.647308
6|attack|84|0|2024-08-04 13:58:21.647308
6|defense|78|0|2024-08-04 13:58:21.647308
6|special-attack|109|3|2024-08-04 13:58:21.647308
6|special-defense|85|0|2024-08-04 13:58:21.647308
6|speed|100|0|2024-08-04 13:58:21.647308
7|hp|44|0|2024-08-04 13:58:21.647308
7|attack|48|0|2024-08-04 13:58:21.647308
7|defense|65|1|2024-08-04 13:58:21.647308
7|special-attack|50|0|2024-08-04 13:58:21.647308
7|special-defense|64|0|2024-08-04 13:58:21.647308
7|speed|43|0|2024-08-04 13:58:21.647308
8|hp|59|0|2024-08-04 13:58:21.647308
8|attack|63|0|2024-08-04 13:58:21.647308
8|defense|80|1|2024-08-04 13:58:21.647308
8|special-attack|65|0|2024-08-04 13:58:21.647308
8|special-defense|80|1|2024-08-04 13:58:21.647308
8|speed|58|0|2024-08-04 13:58:21.647308
9|hp|79|0|2024-08-04 13:58:21.647308
9|attack|83|0|2024-08-04 13:58:21.647308
9|defense|100|0|2024-08-04 13:58:21.647308
9|special-attack|85|0|2024-08-04 13:58:21.647308
9|special-defense|105|3|2024-08-04 13:58:21.647308
9|speed|78|0|2024-08-04 13:58:21.647308
10|hp|45|1|2024-08-04 13:58:21.647308
10|attack|30|0|2024-08-04 13:58:21.647308
10|defense|35|0|2024-08-04 13:58:21.647308
10|special-attack|20|0|2024-08-04 13:58:21.647308
10|special-defense|20|0|2024-08-04 13:58:21.647308
10|speed|45|0|2024-08-04 13:58:21.647308
11|hp|50|0|2024-08-04 13:58:21.647308
11|attack|20|0|2024-08-04 13:58:21.647308
11|defense|55|2|2024-08-04 13:58:21.647308
11|special-attack|25|0|2024-08-04 13:58:21.647308
11|special-defense|25|0|2024-08-04 13:58:21.647308
11|speed|30|0|2024-08-04 13:58:21.647308
12|hp|60|0|2024-08-04 13:58:21.647308
12|attack|45|0|2024-08-04 13:58:21.647308
12|defense|50|0|2024-08-04 13:58:21.647308
12|special-attack|90|2|2024-08-04 13:58:21.647308
12|special-defense|80|1|2024-08-04 13:58:21.647308
12|speed|70|0|2024-08-04 13:58:21.647308
13|hp|40|0|2024-08-04 13:58:21.647308
13|attack|35|0|2024-08-04 13:58:21.647308
13|defense|30|0|2024-08-04 13:58:21.647308
13|special-attack|20|0|2024-08-04 13:58:21.647308
13|special-defense|20|0|2024-08-04 13:58:21.647308
13|speed|50|1|2024-08-04 13:58:21.647308
14|hp|45|0|2024-08-04 13:58:21.647308
14|attack|25|0|2024-08-04 13:58:21.647308
14|defense|50|2|2024-08-04 13:58:21.647308
14|special-attack|25|0|2024-08-04 13:58:21.647308
14|special-defense|25|0|2024-08-04 13:58:21.647308
14|speed|35|0|2024-08-04 13:58:21.647308
15|hp|65|0|2024-08-04 13:58:21.647308
15|attack|90|2|2024-08-04 13:58:21.647308
15|defense|40|0|2024-08-04 13:58:21.647308
15|special-attack|45|0|2024-08-04 13:58:21.647308
15|special-defense|80|1|2024-08-04 13:58:21.647308
15|speed|75|0|2024-08-04 13:58:21.647308
16|hp|40|0|2024-08-04 13:58:21.647308
16|attack|45|0|2024-08-04 13:58:21.647308
16|defense|40|0|2024-08-04 13:58:21.647308
16|special-attack|35|0|2024-08-04 13:58:21.647308
16|special-defense|35|0|2024-08-04 13:58:21.647308
16|speed|56|1|2024-08-04 13:58:21.647308
17|hp|63|0|2024-08-04 13:58:21.647308
17|attack|60|0|2024-08-04 13:58:21.647308
17|defense|55|0|2024-08-04 13:58:21.647308
17|special-attack|50|0|2024-08-04 13:58:21.647308
17|special-defense|50|0|2024-08-04 13:58:21.647308
17|speed|71|2|2024-08-04 13:58:21.647308
18|hp|83|0|2024-08-04 13:58:21.647308
18|attack|80|0|2024-08-04 13:58:21.647308
18|defense|75|0|2024-08-04 13:58:21.647308
18|special-attack|70|0|2024-08-04 13:58:21.647308
18|special-defense|70|0|2024-08-04 13:58:21.647308
18|speed|101|3|2024-08-04 13:58:21.647308
19|hp|30|0|2024-08-04 13:58:21.647308
19|attack|56|0|2024-08-04 13:58:21.647308
19|defense|35|0|2024-08-04 13:58:21.647308
19|special-attack|25|0|2024-08-04 13:58:21.647308
19|special-defense|35|0|2024-08-04 13:58:21.647308
19|speed|72|1|2024-08-04 13:58:21.647308
20|hp|55|0|2024-08-04 13:58:21.647308
20|attack|81|0|2024-08-04 13:58:21.647308
20|defense|60|0|2024-08-04 13:58:21.647308
20|special-attack|50|0|2024-08-04 13:58:21.647308
20|special-defense|70|0|2024-08-04 13:58:21.647308
20|speed|97|2|2024-08-04 13:58:21.647308
21|hp|40|0|2024-08-04 13:58:21.647308
21|attack|60|0|2024-08-04 13:58:21.647308
