pkmn_id|ability_id|ability_name|ability_is_hidden|ability_description|extraer_datetime
1|65|overgrow|False|Powers up Grass-type moves when the Pokémon's HP is low.|2024-08-04 13:57:47.796074
1|34|chlorophyll|True|Boosts the Pokémon's Speed stat in harsh sunlight.|2024-08-04 13:57:47.796074
2|65|overgrow|False|Powers up Grass-type moves when the Pokémon's HP is low.|2024-08-04 13:57:47.796074
2|34|chlorophyll|True|Boosts the Pokémon's Speed stat in harsh sunlight.|2024-08-04 13:57:47.796074
3|65|overgrow|False|Powers up Grass-type moves when the Pokémon's HP is low.|2024-08-04 13:57:47.796074
3|34|chlorophyll|True|Boosts the Pokémon's Speed stat in harsh sunlight.|2024-08-04 13:57:47.796074
4|66|blaze|False|Powers up Fire-type moves when the Pokémon's HP is low.|2024-08-04 13:57:47.796074
4|94|solar-power|True|In harsh sunlight, the Pokémon's Sp. Atk stat is boosted, but its HP decreases every turn.|2024-08-04 13:57:47.796074
5|66|blaze|False|Powers up Fire-type moves when the Pokémon's HP is low.|2024-08-04 13:57:47.796074
5|94|solar-power|True|In harsh sunlight, the Pokémon's Sp. Atk stat is boosted, but its HP decreases every turn.|2024-08-04 13:57:47.796074
6|66|blaze|False|Powers up Fire-type moves when the Pokémon's HP is low.|2024-08-04 13:57:47.796074
6|94|solar-power|True|In harsh sunlight, the Pokémon's Sp. Atk stat is boosted, but its HP decreases every turn.|2024-08-04 13:57:47.796074
7|67|torrent|False|Powers up Water-type moves when the Pokémon's HP is low.|2024-08-04 13:57:47.796074
7|44|rain-dish|True|The Pokémon gradually regains HP in rain.|2024-08-04 13:57:47.796074
8|67|torrent|False|Powers up Water-type moves when the Pokémon's HP is low.|2024-08-04 13:57:47.796074
8|44|rain-dish|True|The Pokémon gradually regains HP in rain.|2024-08-04 13:57:47.796074
9|67|torrent|False|Powers up Water-type moves when the Pokémon's HP is low.|2024-08-04 13:57:47.796074
9|44|rain-dish|True|The Pokémon gradually regains HP in rain.|2024-08-04 13:57:47.796074
10|19|shield-dust|False|Protective dust shields the Pokémon from the additional effects of moves.|2024-08-04 13:57:47.796074
10|50|run-away|True|Enables a sure getaway from wild Pokémon.|2024-08-04 13:57:47.796074
11|61|shed-skin|False|The Pokémon may cure its own status conditions by shedding its skin.|2024-08-04 13:57:47.796074
12|14|compound-eyes|False|The Pokémon's compound eyes boost its accuracy.|2024-08-04 13:57:47.796074
12|110|tinted-lens|True|The Pokémon can use “not very effective” moves to deal regular damage.|2024-08-04 13:57:47.796074
13|19|shield-dust|False|Protective dust shields the Pokémon from the additional effects of moves.|2024-08-04 13:57:47.796074
13|50|run-away|True|Enables a sure getaway from wild Pokémon.|2024-08-04 13:57:47.796074
14|61|shed-skin|False|The Pokémon may cure its own status conditions by shedding its skin.|2024-08-04 13:57:47.796074
15|68|swarm|False|Powers up Bug-type moves when the Pokémon's HP is low.|2024-08-04 13:57:47.796074
15|97|sniper|True|If the Pokémon's attack lands a critical hit, the attack is powered up even further.|2024-08-04 13:57:47.796074
16|51|keen-eye|False|The Pokémon's keen eyes prevent its accuracy from being lowered.|2024-08-04 13:57:47.796074
16|77|tangled-feet|False|Boosts the Pokémon's evasiveness if it is confused.|2024-08-04 13:57:47.796074
16|145|big-pecks|True|Prevents the Pokémon from having its Defense stat lowered.|2024-08-04 13:57:47.796074
17|51|keen-eye|False|The Pokémon's keen eyes prevent its accuracy from being lowered.|2024-08-04 13:57:47.796074
17|77|tangled-feet|False|Boosts the Pokémon's evasiveness if it is confused.|2024-08-04 13:57:47.796074
17|145|big-pecks|True|Prevents the Pokémon from having its Defense stat lowered.|2024-08-04 13:57:47.796074
18|51|keen-eye|False|The Pokémon's keen eyes prevent its accuracy from being lowered.|2024-08-04 13:57:47.796074
18|77|tangled-feet|False|Boosts the Pokémon's evasiveness if it is confused.|2024-08-04 13:57:47.796074
18|145|big-pecks|True|Prevents the Pokémon from having its Defense stat lowered.|2024-08-04 13:57:47.796074
19|50|run-away|False|Enables a sure getaway from wild Pokémon.|2024-08-04 13:57:47.796074
19|62|guts|False|It's so gutsy that having a status condition boosts the Pokémon's Attack stat.|2024-08-04 13:57:47.796074
19|55|hustle|True|Boosts the Pokémon's Attack stat but lowers its accuracy.|2024-08-04 13:57:47.796074
20|50|run-away|False|Enables a sure getaway from wild Pokémon.|2024-08-04 13:57:47.796074
20|62|guts|False|It's so gutsy that having a status condition boosts the Pokémon's Attack stat.|2024-08-04 13:57:47.796074
20|55|hustle|True|Boosts the Pokémon's Attack stat but lowers its accuracy.|2024-08-04 13:57:47.796074
21|51|keen-eye|False|The Pokémon's keen eyes prevent its accuracy from being lowered.|2024-08-04 13:57:47.796074
21|97|sniper|True|If the Pokémon's attack lands a critical hit, the attack is powered up even further.|2024-08-04 13:57:47.796074
22|51|keen-eye|False|The Pokémon's keen eyes prevent its accuracy from being lowered.|2024-08-04 13:57:47.796074
22|97|sniper|True|If the Pokémon's attack lands a critical hit, the attack is powered up even further.|2024-08-04 13:57:47.796074
23|22|intimidate|False|When the Pokémon enters a battle, it intimidates opposing Pokémon and makes them cower, lowering their Attack stats.|2024-08-04 13:57:47.796074
23|61|shed-skin|False|The Pokémon may cure its own status conditions by shedding its skin.|2024-08-04 13:57:47.796074
23|127|unnerve|True|Unnerves opposing Pokémon and makes them unable to eat Berries.|2024-08-04 13:57:47.796074
24|22|intimidate|False|When the Pokémon enters a battle, it intimidates opposing Pokémon and makes them cower, lowering their Attack stats.|2024-08-04 13:57:47.796074
24|61|shed-skin|False|The Pokémon may cure its own status conditions by shedding its skin.|2024-08-04 13:57:47.796074
24|127|unnerve|True|Unnerves opposing Pokémon and makes them unable to eat Berries.|2024-08-04 13:57:47.796074
25|9|static|False|The Pokémon is charged with static electricity and may paralyze attackers that make direct contact with it.|2024-08-04 13:57:47.796074
25|31|lightning-rod|True|The Pokémon draws in all Electric-type moves. Instead of taking damage from them, its Sp. Atk stat is boosted.|2024-08-04 13:57:47.796074
26|9|static|False|The Pokémon is charged with static electricity and may paralyze attackers that make direct contact with it.|2024-08-04 13:57:47.796074
26|31|lightning-rod|True|The Pokémon draws in all Electric-type moves. Instead of taking damage from them, its Sp. Atk stat is boosted.|2024-08-04 13:57:47.796074
27|8|sand-veil|False|Boosts the Pokémon's evasiveness in a sandstorm.|2024-08-04 13:57:47.796074
27|146|sand-rush|True|Boosts the Pokémon's Speed stat in a sandstorm.|2024-08-04 13:57:47.796074
28|8|sand-veil|False|Boosts the Pokémon's evasiveness in a sandstorm.|2024-08-04 13:57:47.796074
28|146|sand-rush|True|Boosts the Pokémon's Speed stat in a sandstorm.|2024-08-04 13:57:47.796074
29|38|poison-point|False|Contact with the Pokémon may poison the attacker.|2024-08-04 13:57:47.796074
29|79|rivalry|False|The Pokémon's competitive spirit makes it deal more damage to Pokémon of the same gender, but less damage to Pokémon of the opposite gender.|2024-08-04 13:57:47.796074
29|55|hustle|True|Boosts the Pokémon's Attack stat but lowers its accuracy.|2024-08-04 13:57:47.796074
30|38|poison-point|False|Contact with the Pokémon may poison the attacker.|2024-08-04 13:57:47.796074
30|79|rivalry|False|The Pokémon's competitive spirit makes it deal more damage to Pokémon of the same gender, but less damage to Pokémon of the opposite gender.|2024-08-04 13:57:47.796074
30|55|hustle|True|Boosts the Pokémon's Attack stat but lowers its accuracy.|2024-08-04 13:57:47.796074
31|38|poison-point|False|Contact with the Pokémon may poison the attacker.|2024-08-04 13:57:47.796074
31|79|rivalry|False|The Pokémon's competitive spirit makes it deal more damage to Pokémon of the same gender, but less damage to Pokémon of the opposite gender.|2024-08-04 13:57:47.796074
31|125|sheer-force|True|Removes any additional effects from the Pokémon's moves, but increases the moves' power.|2024-08-04 13:57:47.796074
32|38|poison-point|False|Contact with the Pokémon may poison the attacker.|2024-08-04 13:57:47.796074
32|79|rivalry|False|The Pokémon's competitive spirit makes it deal more damage to Pokémon of the same gender, but less damage to Pokémon of the opposite gender.|2024-08-04 13:57:47.796074
32|55|hustle|True|Boosts the Pokémon's Attack stat but lowers its accuracy.|2024-08-04 13:57:47.796074
33|38|poison-point|False|Contact with the Pokémon may poison the attacker.|2024-08-04 13:57:47.796074
33|79|rivalry|False|The Pokémon's competitive spirit makes it deal more damage to Pokémon of the same gender, but less damage to Pokémon of the opposite gender.|2024-08-04 13:57:47.796074
33|55|hustle|True|Boosts the Pokémon's Attack stat but lowers its accuracy.|2024-08-04 13:57:47.796074
34|38|poison-point|False|Contact with the Pokémon may poison the attacker.|2024-08-04 13:57:47.796074
34|79|rivalry|False|The Pokémon's competitive spirit makes it deal more damage to Pokémon of the same gender, but less damage to Pokémon of the opposite gender.|2024-08-04 13:57:47.796074
34|125|sheer-force|True|Removes any additional effects from the Pokémon's moves, but increases the moves' power.|2024-08-04 13:57:47.796074
35|56|cute-charm|False|The Pokémon may infatuate attackers that make direct contact with it.|2024-08-04 13:57:47.796074
35|98|magic-guard|False|The Pokémon only takes damage from attacks.|2024-08-04 13:57:47.796074
35|132|friend-guard|True|Reduces damage dealt to allies.|2024-08-04 13:57:47.796074
36|56|cute-charm|False|The Pokémon may infatuate attackers that make direct contact with it.|2024-08-04 13:57:47.796074
36|98|magic-guard|False|The Pokémon only takes damage from attacks.|2024-08-04 13:57:47.796074
36|109|unaware|True|When attacking, the Pokémon ignores the target's stat changes.|2024-08-04 13:57:47.796074
37|18|flash-fire|False|If hit by a Fire-type move, the Pokémon absorbs the flames and uses them to power up its own Fire-type moves.|2024-08-04 13:57:47.796074
37|70|drought|True|Turns the sunlight harsh when the Pokémon enters a battle.|2024-08-04 13:57:47.796074
