pkmn_id|name|stat|effort|extraer_datetime
1|hp|45|0|2024-08-04 13:57:47.797073
1|attack|49|0|2024-08-04 13:57:47.797073
1|defense|49|0|2024-08-04 13:57:47.797073
1|special-attack|65|1|2024-08-04 13:57:47.797073
1|special-defense|65|0|2024-08-04 13:57:47.797073
1|speed|45|0|2024-08-04 13:57:47.797073
2|hp|60|0|2024-08-04 13:57:47.797073
2|attack|62|0|2024-08-04 13:57:47.797073
2|defense|63|0|2024-08-04 13:57:47.797073
2|special-attack|80|1|2024-08-04 13:57:47.797073
2|special-defense|80|1|2024-08-04 13:57:47.797073
2|speed|60|0|2024-08-04 13:57:47.797073
3|hp|80|0|2024-08-04 13:57:47.797073
3|attack|82|0|2024-08-04 13:57:47.797073
3|defense|83|0|2024-08-04 13:57:47.797073
3|special-attack|100|2|2024-08-04 13:57:47.797073
3|special-defense|100|1|2024-08-04 13:57:47.797073
3|speed|80|0|2024-08-04 13:57:47.797073
4|hp|39|0|2024-08-04 13:57:47.797073
4|attack|52|0|2024-08-04 13:57:47.797073
4|defense|43|0|2024-08-04 13:57:47.797073
4|special-attack|60|0|2024-08-04 13:57:47.797073
4|special-defense|50|0|2024-08-04 13:57:47.797073
4|speed|65|1|2024-08-04 13:57:47.797073
5|hp|58|0|2024-08-04 13:57:47.797073
5|attack|64|0|2024-08-04 13:57:47.797073
5|defense|58|0|2024-08-04 13:57:47.797073
5|special-attack|80|1|2024-08-04 13:57:47.797073
5|special-defense|65|0|2024-08-04 13:57:47.797073
5|speed|80|1|2024-08-04 13:57:47.797073
6|hp|78|0|2024-08-04 13:57:47.797073
6|attack|84|0|2024-08-04 13:57:47.797073
6|defense|78|0|2024-08-04 13:57:47.797073
6|special-attack|109|3|2024-08-04 13:57:47.797073
6|special-defense|85|0|2024-08-04 13:57:47.797073
6|speed|100|0|2024-08-04 13:57:47.797073
7|hp|44|0|2024-08-04 13:57:47.797073
7|attack|48|0|2024-08-04 13:57:47.797073
7|defense|65|1|2024-08-04 13:57:47.797073
7|special-attack|50|0|2024-08-04 13:57:47.797073
7|special-defense|64|0|2024-08-04 13:57:47.797073
7|speed|43|0|2024-08-04 13:57:47.797073
8|hp|59|0|2024-08-04 13:57:47.797073
8|attack|63|0|2024-08-04 13:57:47.797073
8|defense|80|1|2024-08-04 13:57:47.797073
8|special-attack|65|0|2024-08-04 13:57:47.797073
8|special-defense|80|1|2024-08-04 13:57:47.797073
8|speed|58|0|2024-08-04 13:57:47.797073
9|hp|79|0|2024-08-04 13:57:47.797073
9|attack|83|0|2024-08-04 13:57:47.797073
9|defense|100|0|2024-08-04 13:57:47.797073
9|special-attack|85|0|2024-08-04 13:57:47.797073
9|special-defense|105|3|2024-08-04 13:57:47.797073
9|speed|78|0|2024-08-04 13:57:47.797073
10|hp|45|1|2024-08-04 13:57:47.797073
10|attack|30|0|2024-08-04 13:57:47.797073
10|defense|35|0|2024-08-04 13:57:47.797073
10|special-attack|20|0|2024-08-04 13:57:47.797073
10|special-defense|20|0|2024-08-04 13:57:47.797073
10|speed|45|0|2024-08-04 13:57:47.797073
11|hp|50|0|2024-08-04 13:57:47.797073
11|attack|20|0|2024-08-04 13:57:47.797073
11|defense|55|2|2024-08-04 13:57:47.797073
11|special-attack|25|0|2024-08-04 13:57:47.797073
11|special-defense|25|0|2024-08-04 13:57:47.797073
11|speed|30|0|2024-08-04 13:57:47.797073
12|hp|60|0|2024-08-04 13:57:47.797073
12|attack|45|0|2024-08-04 13:57:47.797073
12|defense|50|0|2024-08-04 13:57:47.797073
12|special-attack|90|2|2024-08-04 13:57:47.797073
12|special-defense|80|1|2024-08-04 13:57:47.797073
12|speed|70|0|2024-08-04 13:57:47.797073
13|hp|40|0|2024-08-04 13:57:47.797073
13|attack|35|0|2024-08-04 13:57:47.797073
13|defense|30|0|2024-08-04 13:57:47.797073
13|special-attack|20|0|2024-08-04 13:57:47.797073
13|special-defense|20|0|2024-08-04 13:57:47.797073
13|speed|50|1|2024-08-04 13:57:47.797073
14|hp|45|0|2024-08-04 13:57:47.797073
14|attack|25|0|2024-08-04 13:57:47.797073
14|defense|50|2|2024-08-04 13:57:47.797073
14|special-attack|25|0|2024-08-04 13:57:47.797073
14|special-defense|25|0|2024-08-04 13:57:47.797073
14|speed|35|0|2024-08-04 13:57:47.797073
15|hp|65|0|2024-08-04 13:57:47.797073
15|attack|90|2|2024-08-04 13:57:47.797073
15|defense|40|0|2024-08-04 13:57:47.797073
15|special-attack|45|0|2024-08-04 13:57:47.797073
15|special-defense|80|1|2024-08-04 13:57:47.797073
15|speed|75|0|2024-08-04 13:57:47.797073
16|hp|40|0|2024-08-04 13:57:47.797073
16|attack|45|0|2024-08-04 13:57:47.797073
16|defense|40|0|2024-08-04 13:57:47.797073
16|special-attack|35|0|2024-08-04 13:57:47.797073
16|special-defense|35|0|2024-08-04 13:57:47.797073
16|speed|56|1|2024-08-04 13:57:47.797073
17|hp|63|0|2024-08-04 13:57:47.797073
17|attack|60|0|2024-08-04 13:57:47.797073
17|defense|55|0|2024-08-04 13:57:47.797073
17|special-attack|50|0|2024-08-04 13:57:47.797073
17|special-defense|50|0|2024-08-04 13:57:47.797073
17|speed|71|2|2024-08-04 13:57:47.797073
18|hp|83|0|2024-08-04 13:57:47.797073
18|attack|80|0|2024-08-04 13:57:47.797073
18|defense|75|0|2024-08-04 13:57:47.797073
18|special-attack|70|0|2024-08-04 13:57:47.797073
18|special-defense|70|0|2024-08-04 13:57:47.797073
18|speed|101|3|2024-08-04 13:57:47.797073
