pkmn_id|ability_id|ability_name|ability_is_hidden|ability_description|extraer_datetime
1|65|overgrow|False|Powers up Grass-type moves when the Pokémon's HP is low.|2024-08-09 10:49:15.048744
1|34|chlorophyll|True|Boosts the Pokémon's Speed stat in harsh sunlight.|2024-08-09 10:49:15.048744
2|65|overgrow|False|Powers up Grass-type moves when the Pokémon's HP is low.|2024-08-09 10:49:15.048744
2|34|chlorophyll|True|Boosts the Pokémon's Speed stat in harsh sunlight.|2024-08-09 10:49:15.048744
3|65|overgrow|False|Powers up Grass-type moves when the Pokémon's HP is low.|2024-08-09 10:49:15.048744
3|34|chlorophyll|True|Boosts the Pokémon's Speed stat in harsh sunlight.|2024-08-09 10:49:15.048744
4|66|blaze|False|Powers up Fire-type moves when the Pokémon's HP is low.|2024-08-09 10:49:15.048744
4|94|solar-power|True|In harsh sunlight, the Pokémon's Sp. Atk stat is boosted, but its HP decreases every turn.|2024-08-09 10:49:15.048744
5|66|blaze|False|Powers up Fire-type moves when the Pokémon's HP is low.|2024-08-09 10:49:15.048744
5|94|solar-power|True|In harsh sunlight, the Pokémon's Sp. Atk stat is boosted, but its HP decreases every turn.|2024-08-09 10:49:15.048744
6|66|blaze|False|Powers up Fire-type moves when the Pokémon's HP is low.|2024-08-09 10:49:15.048744
6|94|solar-power|True|In harsh sunlight, the Pokémon's Sp. Atk stat is boosted, but its HP decreases every turn.|2024-08-09 10:49:15.048744
7|67|torrent|False|Powers up Water-type moves when the Pokémon's HP is low.|2024-08-09 10:49:15.048744
7|44|rain-dish|True|The Pokémon gradually regains HP in rain.|2024-08-09 10:49:15.048744
8|67|torrent|False|Powers up Water-type moves when the Pokémon's HP is low.|2024-08-09 10:49:15.048744
8|44|rain-dish|True|The Pokémon gradually regains HP in rain.|2024-08-09 10:49:15.048744
9|67|torrent|False|Powers up Water-type moves when the Pokémon's HP is low.|2024-08-09 10:49:15.048744
9|44|rain-dish|True|The Pokémon gradually regains HP in rain.|2024-08-09 10:49:15.048744
10|19|shield-dust|False|Protective dust shields the Pokémon from the additional effects of moves.|2024-08-09 10:49:15.048744
