pkmn_id|evolve_to_pkmn|evol_req_gender|evol_req_held_item|evol_req_item|evol_req_known_move|evol_req_known_move_type|evol_req_location|evol_req_min_affection|evol_req_min_beauty|evol_req_min_happiness|evol_req_min_level|evol_req_needs_overworld_rain|evol_req_party_species|evol_req_party_type|evol_req_relative_physical_stats|evol_req_time_of_day|evol_req_trade_species|evol_req_turn_upside_down|evol_req_baby|extraer_datetime
1|bulbasaur||||||||||||||||||True|2024-08-17 12:03:45.548364
1|ivysaur||||||||||16|False||||||False|False|2024-08-17 12:03:45.548364
1|venusaur||||||||||32|False||||||False|False|2024-08-17 12:03:45.548364
2|bulbasaur||||||||||||||||||True|2024-08-17 12:03:45.548364
2|ivysaur||||||||||16|False||||||False|False|2024-08-17 12:03:45.548364
2|venusaur||||||||||32|False||||||False|False|2024-08-17 12:03:45.548364
3|bulbasaur||||||||||||||||||True|2024-08-17 12:03:45.548364
3|ivysaur||||||||||16|False||||||False|False|2024-08-17 12:03:45.548364
3|venusaur||||||||||32|False||||||False|False|2024-08-17 12:03:45.548364
4|charmander||||||||||||||||||True|2024-08-17 12:03:45.548364
4|charmeleon||||||||||16|False||||||False|False|2024-08-17 12:03:45.548364
4|charizard||||||||||36|False||||||False|False|2024-08-17 12:03:45.548364
5|charmander||||||||||||||||||True|2024-08-17 12:03:45.548364
5|charmeleon||||||||||16|False||||||False|False|2024-08-17 12:03:45.548364
5|charizard||||||||||36|False||||||False|False|2024-08-17 12:03:45.548364
6|charmander||||||||||||||||||True|2024-08-17 12:03:45.548364
6|charmeleon||||||||||16|False||||||False|False|2024-08-17 12:03:45.548364
6|charizard||||||||||36|False||||||False|False|2024-08-17 12:03:45.548364
7|squirtle||||||||||||||||||True|2024-08-17 12:03:45.548364
7|wartortle||||||||||16|False||||||False|False|2024-08-17 12:03:45.548364
7|blastoise||||||||||36|False||||||False|False|2024-08-17 12:03:45.548364
8|squirtle||||||||||||||||||True|2024-08-17 12:03:45.548364
8|wartortle||||||||||16|False||||||False|False|2024-08-17 12:03:45.548364
8|blastoise||||||||||36|False||||||False|False|2024-08-17 12:03:45.548364
9|squirtle||||||||||||||||||True|2024-08-17 12:03:45.548364
9|wartortle||||||||||16|False||||||False|False|2024-08-17 12:03:45.548364
9|blastoise||||||||||36|False||||||False|False|2024-08-17 12:03:45.548364
10|caterpie||||||||||||||||||True|2024-08-17 12:03:45.548364
10|metapod||||||||||7|False||||||False|False|2024-08-17 12:03:45.548364
10|butterfree||||||||||10|False||||||False|False|2024-08-17 12:03:45.548364
11|caterpie||||||||||||||||||True|2024-08-17 12:03:45.548364
11|metapod||||||||||7|False||||||False|False|2024-08-17 12:03:45.548364
11|butterfree||||||||||10|False||||||False|False|2024-08-17 12:03:45.548364
12|caterpie||||||||||||||||||True|2024-08-17 12:03:45.548364
12|metapod||||||||||7|False||||||False|False|2024-08-17 12:03:45.548364
12|butterfree||||||||||10|False||||||False|False|2024-08-17 12:03:45.548364
13|weedle||||||||||||||||||True|2024-08-17 12:03:45.548364
13|kakuna||||||||||7|False||||||False|False|2024-08-17 12:03:45.548364
13|beedrill||||||||||10|False||||||False|False|2024-08-17 12:03:45.548364
14|weedle||||||||||||||||||True|2024-08-17 12:03:45.548364
14|kakuna||||||||||7|False||||||False|False|2024-08-17 12:03:45.548364
14|beedrill||||||||||10|False||||||False|False|2024-08-17 12:03:45.548364
15|weedle||||||||||||||||||True|2024-08-17 12:03:45.548364
15|kakuna||||||||||7|False||||||False|False|2024-08-17 12:03:45.548364
15|beedrill||||||||||10|False||||||False|False|2024-08-17 12:03:45.548364
16|pidgey||||||||||||||||||True|2024-08-17 12:03:45.548364
16|pidgeotto||||||||||18|False||||||False|False|2024-08-17 12:03:45.548364
16|pidgeot||||||||||36|False||||||False|False|2024-08-17 12:03:45.548364
17|pidgey||||||||||||||||||True|2024-08-17 12:03:45.548364
17|pidgeotto||||||||||18|False||||||False|False|2024-08-17 12:03:45.548364
17|pidgeot||||||||||36|False||||||False|False|2024-08-17 12:03:45.548364
18|pidgey||||||||||||||||||True|2024-08-17 12:03:45.548364
18|pidgeotto||||||||||18|False||||||False|False|2024-08-17 12:03:45.548364
18|pidgeot||||||||||36|False||||||False|False|2024-08-17 12:03:45.548364
19|rattata||||||||||||||||||True|2024-08-17 12:03:45.548364
19|raticate||||||||||20|False||||||False|False|2024-08-17 12:03:45.548364
20|rattata||||||||||||||||||True|2024-08-17 12:03:45.548364
20|raticate||||||||||20|False||||||False|False|2024-08-17 12:03:45.548364
