pkmn_id|pokemon_order|pokemon_name|pokemon_weight|pokemon_height|pokemon_image_path|extraer_datetime
1|1|bulbasaur|69|7|./pokemon-sprites/1-bulbasaur.png|2024-08-17 12:03:45.522369
2|2|ivysaur|130|10|./pokemon-sprites/2-ivysaur.png|2024-08-17 12:03:45.522369
3|3|venusaur|1000|20|./pokemon-sprites/3-venusaur.png|2024-08-17 12:03:45.522369
4|5|charmander|85|6|./pokemon-sprites/4-charmander.png|2024-08-17 12:03:45.522369
5|6|charmeleon|190|11|./pokemon-sprites/5-charmeleon.png|2024-08-17 12:03:45.522369
6|7|charizard|905|17|./pokemon-sprites/6-charizard.png|2024-08-17 12:03:45.522369
7|10|squirtle|90|5|./pokemon-sprites/7-squirtle.png|2024-08-17 12:03:45.522369
8|11|wartortle|225|10|./pokemon-sprites/8-wartortle.png|2024-08-17 12:03:45.522369
9|12|blastoise|855|16|./pokemon-sprites/9-blastoise.png|2024-08-17 12:03:45.522369
10|14|caterpie|29|3|./pokemon-sprites/10-caterpie.png|2024-08-17 12:03:45.522369
11|15|metapod|99|7|./pokemon-sprites/11-metapod.png|2024-08-17 12:03:45.522369
12|16|butterfree|320|11|./pokemon-sprites/12-butterfree.png|2024-08-17 12:03:45.522369
13|17|weedle|32|3|./pokemon-sprites/13-weedle.png|2024-08-17 12:03:45.522369
14|18|kakuna|100|6|./pokemon-sprites/14-kakuna.png|2024-08-17 12:03:45.522369
15|19|beedrill|295|10|./pokemon-sprites/15-beedrill.png|2024-08-17 12:03:45.522369
16|21|pidgey|18|3|./pokemon-sprites/16-pidgey.png|2024-08-17 12:03:45.522369
17|22|pidgeotto|300|11|./pokemon-sprites/17-pidgeotto.png|2024-08-17 12:03:45.522369
18|23|pidgeot|395|15|./pokemon-sprites/18-pidgeot.png|2024-08-17 12:03:45.522369
19|25|rattata|35|3|./pokemon-sprites/19-rattata.png|2024-08-17 12:03:45.522369
20|27|raticate|185|7|./pokemon-sprites/20-raticate.png|2024-08-17 12:03:45.522369
21|30|spearow|20|3|./pokemon-sprites/21-spearow.png|2024-08-17 12:03:45.522369
22|31|fearow|380|12|./pokemon-sprites/22-fearow.png|2024-08-17 12:03:45.522369
23|32|ekans|69|20|./pokemon-sprites/23-ekans.png|2024-08-17 12:03:45.522369
24|33|arbok|650|35|./pokemon-sprites/24-arbok.png|2024-08-17 12:03:45.522369
25|35|pikachu|60|4|./pokemon-sprites/25-pikachu.png|2024-08-17 12:03:45.522369
26|51|raichu|300|8|./pokemon-sprites/26-raichu.png|2024-08-17 12:03:45.522369
27|53|sandshrew|120|6|./pokemon-sprites/27-sandshrew.png|2024-08-17 12:03:45.522369
28|55|sandslash|295|10|./pokemon-sprites/28-sandslash.png|2024-08-17 12:03:45.522369
29|57|nidoran-f|70|4|./pokemon-sprites/29-nidoran-f.png|2024-08-17 12:03:45.522369
