pkmn_id|name|stat|effort|extraer_datetime
1|hp|45|0|2024-08-09 10:49:15.049744
1|attack|49|0|2024-08-09 10:49:15.049744
1|defense|49|0|2024-08-09 10:49:15.049744
1|special-attack|65|1|2024-08-09 10:49:15.049744
1|special-defense|65|0|2024-08-09 10:49:15.049744
1|speed|45|0|2024-08-09 10:49:15.049744
2|hp|60|0|2024-08-09 10:49:15.049744
2|attack|62|0|2024-08-09 10:49:15.049744
2|defense|63|0|2024-08-09 10:49:15.049744
2|special-attack|80|1|2024-08-09 10:49:15.049744
2|special-defense|80|1|2024-08-09 10:49:15.049744
2|speed|60|0|2024-08-09 10:49:15.049744
3|hp|80|0|2024-08-09 10:49:15.049744
3|attack|82|0|2024-08-09 10:49:15.049744
3|defense|83|0|2024-08-09 10:49:15.049744
3|special-attack|100|2|2024-08-09 10:49:15.049744
3|special-defense|100|1|2024-08-09 10:49:15.049744
3|speed|80|0|2024-08-09 10:49:15.049744
4|hp|39|0|2024-08-09 10:49:15.049744
4|attack|52|0|2024-08-09 10:49:15.049744
4|defense|43|0|2024-08-09 10:49:15.049744
4|special-attack|60|0|2024-08-09 10:49:15.049744
4|special-defense|50|0|2024-08-09 10:49:15.049744
4|speed|65|1|2024-08-09 10:49:15.049744
5|hp|58|0|2024-08-09 10:49:15.049744
5|attack|64|0|2024-08-09 10:49:15.049744
5|defense|58|0|2024-08-09 10:49:15.049744
5|special-attack|80|1|2024-08-09 10:49:15.049744
5|special-defense|65|0|2024-08-09 10:49:15.049744
5|speed|80|1|2024-08-09 10:49:15.049744
6|hp|78|0|2024-08-09 10:49:15.049744
6|attack|84|0|2024-08-09 10:49:15.049744
6|defense|78|0|2024-08-09 10:49:15.049744
6|special-attack|109|3|2024-08-09 10:49:15.049744
6|special-defense|85|0|2024-08-09 10:49:15.049744
6|speed|100|0|2024-08-09 10:49:15.049744
7|hp|44|0|2024-08-09 10:49:15.049744
7|attack|48|0|2024-08-09 10:49:15.049744
7|defense|65|1|2024-08-09 10:49:15.049744
7|special-attack|50|0|2024-08-09 10:49:15.049744
7|special-defense|64|0|2024-08-09 10:49:15.049744
7|speed|43|0|2024-08-09 10:49:15.049744
8|hp|59|0|2024-08-09 10:49:15.049744
8|attack|63|0|2024-08-09 10:49:15.049744
8|defense|80|1|2024-08-09 10:49:15.049744
8|special-attack|65|0|2024-08-09 10:49:15.049744
8|special-defense|80|1|2024-08-09 10:49:15.049744
8|speed|58|0|2024-08-09 10:49:15.049744
9|hp|79|0|2024-08-09 10:49:15.049744
9|attack|83|0|2024-08-09 10:49:15.049744
9|defense|100|0|2024-08-09 10:49:15.049744
9|special-attack|85|0|2024-08-09 10:49:15.049744
9|special-defense|105|3|2024-08-09 10:49:15.049744
9|speed|78|0|2024-08-09 10:49:15.049744
10|hp|45|1|2024-08-09 10:49:15.049744
10|attack|30|0|2024-08-09 10:49:15.049744
10|defense|35|0|2024-08-09 10:49:15.049744
10|special-attack|20|0|2024-08-09 10:49:15.049744
10|special-defense|20|0|2024-08-09 10:49:15.049744
10|speed|45|0|2024-08-09 10:49:15.049744
11|hp|50|0|2024-08-09 10:49:15.049744
11|attack|20|0|2024-08-09 10:49:15.049744
11|defense|55|2|2024-08-09 10:49:15.049744
11|special-attack|25|0|2024-08-09 10:49:15.049744
11|special-defense|25|0|2024-08-09 10:49:15.049744
11|speed|30|0|2024-08-09 10:49:15.049744
12|hp|60|0|2024-08-09 10:49:15.049744
12|attack|45|0|2024-08-09 10:49:15.049744
12|defense|50|0|2024-08-09 10:49:15.049744
12|special-attack|90|2|2024-08-09 10:49:15.049744
12|special-defense|80|1|2024-08-09 10:49:15.049744
12|speed|70|0|2024-08-09 10:49:15.049744
13|hp|40|0|2024-08-09 10:49:15.049744
13|attack|35|0|2024-08-09 10:49:15.049744
13|defense|30|0|2024-08-09 10:49:15.049744
13|special-attack|20|0|2024-08-09 10:49:15.049744
13|special-defense|20|0|2024-08-09 10:49:15.049744
13|speed|50|1|2024-08-09 10:49:15.049744
14|hp|45|0|2024-08-09 10:49:15.049744
14|attack|25|0|2024-08-09 10:49:15.049744
14|defense|50|2|2024-08-09 10:49:15.049744
14|special-attack|25|0|2024-08-09 10:49:15.049744
14|special-defense|25|0|2024-08-09 10:49:15.049744
14|speed|35|0|2024-08-09 10:49:15.049744
15|hp|65|0|2024-08-09 10:49:15.049744
15|attack|90|2|2024-08-09 10:49:15.049744
15|defense|40|0|2024-08-09 10:49:15.049744
15|special-attack|45|0|2024-08-09 10:49:15.049744
15|special-defense|80|1|2024-08-09 10:49:15.049744
15|speed|75|0|2024-08-09 10:49:15.049744
16|hp|40|0|2024-08-09 10:49:15.049744
16|attack|45|0|2024-08-09 10:49:15.049744
16|defense|40|0|2024-08-09 10:49:15.049744
16|special-attack|35|0|2024-08-09 10:49:15.049744
16|special-defense|35|0|2024-08-09 10:49:15.049744
16|speed|56|1|2024-08-09 10:49:15.049744
17|hp|63|0|2024-08-09 10:49:15.049744
17|attack|60|0|2024-08-09 10:49:15.049744
17|defense|55|0|2024-08-09 10:49:15.049744
17|special-attack|50|0|2024-08-09 10:49:15.049744
17|special-defense|50|0|2024-08-09 10:49:15.049744
17|speed|71|2|2024-08-09 10:49:15.049744
18|hp|83|0|2024-08-09 10:49:15.049744
18|attack|80|0|2024-08-09 10:49:15.049744
18|defense|75|0|2024-08-09 10:49:15.049744
18|special-attack|70|0|2024-08-09 10:49:15.049744
18|special-defense|70|0|2024-08-09 10:49:15.049744
18|speed|101|3|2024-08-09 10:49:15.049744
19|hp|30|0|2024-08-09 10:49:15.049744
19|attack|56|0|2024-08-09 10:49:15.049744
19|defense|35|0|2024-08-09 10:49:15.049744
19|special-attack|25|0|2024-08-09 10:49:15.049744
19|special-defense|35|0|2024-08-09 10:49:15.049744
19|speed|72|1|2024-08-09 10:49:15.049744
20|hp|55|0|2024-08-09 10:49:15.049744
20|attack|81|0|2024-08-09 10:49:15.049744
20|defense|60|0|2024-08-09 10:49:15.049744
20|special-attack|50|0|2024-08-09 10:49:15.049744
20|special-defense|70|0|2024-08-09 10:49:15.049744
20|speed|97|2|2024-08-09 10:49:15.049744
21|hp|40|0|2024-08-09 10:49:15.049744
21|attack|60|0|2024-08-09 10:49:15.049744
21|defense|30|0|2024-08-09 10:49:15.049744
21|special-attack|31|0|2024-08-09 10:49:15.049744
21|special-defense|31|0|2024-08-09 10:49:15.049744
21|speed|70|1|2024-08-09 10:49:15.049744
22|hp|65|0|2024-08-09 10:49:15.049744
22|attack|90|0|2024-08-09 10:49:15.049744
22|defense|65|0|2024-08-09 10:49:15.049744
22|special-attack|61|0|2024-08-09 10:49:15.049744
22|special-defense|61|0|2024-08-09 10:49:15.049744
22|speed|100|2|2024-08-09 10:49:15.049744
23|hp|35|0|2024-08-09 10:49:15.049744
23|attack|60|1|2024-08-09 10:49:15.049744
23|defense|44|0|2024-08-09 10:49:15.049744
23|special-attack|40|0|2024-08-09 10:49:15.049744
23|special-defense|54|0|2024-08-09 10:49:15.049744
23|speed|55|0|2024-08-09 10:49:15.049744
24|hp|60|0|2024-08-09 10:49:15.049744
24|attack|95|2|2024-08-09 10:49:15.049744
24|defense|69|0|2024-08-09 10:49:15.049744
24|special-attack|65|0|2024-08-09 10:49:15.049744
24|special-defense|79|0|2024-08-09 10:49:15.049744
24|speed|80|0|2024-08-09 10:49:15.049744
25|hp|35|0|2024-08-09 10:49:15.049744
25|attack|55|0|2024-08-09 10:49:15.049744
25|defense|40|0|2024-08-09 10:49:15.049744
25|special-attack|50|0|2024-08-09 10:49:15.049744
25|special-defense|50|0|2024-08-09 10:49:15.049744
25|speed|90|2|2024-08-09 10:49:15.049744
26|hp|60|0|2024-08-09 10:49:15.049744
26|attack|90|0|2024-08-09 10:49:15.049744
26|defense|55|0|2024-08-09 10:49:15.049744
26|special-attack|90|0|2024-08-09 10:49:15.049744
26|special-defense|80|0|2024-08-09 10:49:15.049744
26|speed|110|3|2024-08-09 10:49:15.049744
27|hp|50|0|2024-08-09 10:49:15.049744
27|attack|75|0|2024-08-09 10:49:15.049744
27|defense|85|1|2024-08-09 10:49:15.049744
27|special-attack|20|0|2024-08-09 10:49:15.049744
27|special-defense|30|0|2024-08-09 10:49:15.049744
27|speed|40|0|2024-08-09 10:49:15.049744
28|hp|75|0|2024-08-09 10:49:15.049744
28|attack|100|0|2024-08-09 10:49:15.049744
28|defense|110|2|2024-08-09 10:49:15.049744
28|special-attack|45|0|2024-08-09 10:49:15.049744
28|special-defense|55|0|2024-08-09 10:49:15.049744
28|speed|65|0|2024-08-09 10:49:15.049744
29|hp|55|1|2024-08-09 10:49:15.049744
29|attack|47|0|2024-08-09 10:49:15.049744
29|defense|52|0|2024-08-09 10:49:15.049744
29|special-attack|40|0|2024-08-09 10:49:15.049744
29|special-defense|40|0|2024-08-09 10:49:15.049744
29|speed|41|0|2024-08-09 10:49:15.049744
30|hp|70|2|2024-08-09 10:49:15.049744
30|attack|62|0|2024-08-09 10:49:15.049744
30|defense|67|0|2024-08-09 10:49:15.049744
30|special-attack|55|0|2024-08-09 10:49:15.049744
30|special-defense|55|0|2024-08-09 10:49:15.049744
30|speed|56|0|2024-08-09 10:49:15.049744
31|hp|90|3|2024-08-09 10:49:15.049744
31|attack|92|0|2024-08-09 10:49:15.049744
31|defense|87|0|2024-08-09 10:49:15.049744
31|special-attack|75|0|2024-08-09 10:49:15.049744
31|special-defense|85|0|2024-08-09 10:49:15.049744
31|speed|76|0|2024-08-09 10:49:15.049744
32|hp|46|0|2024-08-09 10:49:15.049744
32|attack|57|1|2024-08-09 10:49:15.049744
32|defense|40|0|2024-08-09 10:49:15.049744
32|special-attack|40|0|2024-08-09 10:49:15.049744
32|special-defense|40|0|2024-08-09 10:49:15.049744
32|speed|50|0|2024-08-09 10:49:15.049744
33|hp|61|0|2024-08-09 10:49:15.049744
33|attack|72|2|2024-08-09 10:49:15.049744
33|defense|57|0|2024-08-09 10:49:15.049744
33|special-attack|55|0|2024-08-09 10:49:15.049744
33|special-defense|55|0|2024-08-09 10:49:15.049744
33|speed|65|0|2024-08-09 10:49:15.049744
34|hp|81|0|2024-08-09 10:49:15.049744
34|attack|102|3|2024-08-09 10:49:15.049744
34|defense|77|0|2024-08-09 10:49:15.049744
34|special-attack|85|0|2024-08-09 10:49:15.049744
34|special-defense|75|0|2024-08-09 10:49:15.049744
34|speed|85|0|2024-08-09 10:49:15.049744
35|hp|70|2|2024-08-09 10:49:15.049744
35|attack|45|0|2024-08-09 10:49:15.049744
35|defense|48|0|2024-08-09 10:49:15.049744
35|special-attack|60|0|2024-08-09 10:49:15.049744
35|special-defense|65|0|2024-08-09 10:49:15.049744
35|speed|35|0|2024-08-09 10:49:15.049744
36|hp|95|3|2024-08-09 10:49:15.049744
36|attack|70|0|2024-08-09 10:49:15.049744
36|defense|73|0|2024-08-09 10:49:15.049744
36|special-attack|95|0|2024-08-09 10:49:15.049744
36|special-defense|90|0|2024-08-09 10:49:15.049744
