ability_id|ability_name|ability_description|transformar_datetime
65|overgrow|Powers up Grass-type moves when the Pokémon's HP is low.|2024-08-04 13:58:08.956040
34|chlorophyll|Boosts the Pokémon's Speed stat in harsh sunlight.|2024-08-04 13:58:08.956040
66|blaze|Powers up Fire-type moves when the Pokémon's HP is low.|2024-08-04 13:58:08.956040
94|solar-power|In harsh sunlight, the Pokémon's Sp. Atk stat is boosted, but its HP decreases every turn.|2024-08-04 13:58:08.956040
67|torrent|Powers up Water-type moves when the Pokémon's HP is low.|2024-08-04 13:58:08.956040
44|rain-dish|The Pokémon gradually regains HP in rain.|2024-08-04 13:58:08.956040
19|shield-dust|Protective dust shields the Pokémon from the additional effects of moves.|2024-08-04 13:58:08.956040
50|run-away|Enables a sure getaway from wild Pokémon.|2024-08-04 13:58:08.956040
61|shed-skin|The Pokémon may cure its own status conditions by shedding its skin.|2024-08-04 13:58:08.956040
14|compound-eyes|The Pokémon's compound eyes boost its accuracy.|2024-08-04 13:58:08.956040
110|tinted-lens|The Pokémon can use “not very effective” moves to deal regular damage.|2024-08-04 13:58:08.956040
68|swarm|Powers up Bug-type moves when the Pokémon's HP is low.|2024-08-04 13:58:08.956040
97|sniper|If the Pokémon's attack lands a critical hit, the attack is powered up even further.|2024-08-04 13:58:08.956040
51|keen-eye|The Pokémon's keen eyes prevent its accuracy from being lowered.|2024-08-04 13:58:08.956040
77|tangled-feet|Boosts the Pokémon's evasiveness if it is confused.|2024-08-04 13:58:08.956040
145|big-pecks|Prevents the Pokémon from having its Defense stat lowered.|2024-08-04 13:58:08.956040
62|guts|It's so gutsy that having a status condition boosts the Pokémon's Attack stat.|2024-08-04 13:58:08.956040
55|hustle|Boosts the Pokémon's Attack stat but lowers its accuracy.|2024-08-04 13:58:08.956040
22|intimidate|When the Pokémon enters a battle, it intimidates opposing Pokémon and makes them cower, lowering their Attack stats.|2024-08-04 13:58:08.956040
127|unnerve|Unnerves opposing Pokémon and makes them unable to eat Berries.|2024-08-04 13:58:08.956040
9|static|The Pokémon is charged with static electricity and may paralyze attackers that make direct contact with it.|2024-08-04 13:58:08.956040
31|lightning-rod|The Pokémon draws in all Electric-type moves. Instead of taking damage from them, its Sp. Atk stat is boosted.|2024-08-04 13:58:08.956040
8|sand-veil|Boosts the Pokémon's evasiveness in a sandstorm.|2024-08-04 13:58:08.956040
146|sand-rush|Boosts the Pokémon's Speed stat in a sandstorm.|2024-08-04 13:58:08.956040
38|poison-point|Contact with the Pokémon may poison the attacker.|2024-08-04 13:58:08.956040
79|rivalry|The Pokémon's competitive spirit makes it deal more damage to Pokémon of the same gender, but less damage to Pokémon of the opposite gender.|2024-08-04 13:58:08.956040
125|sheer-force|Removes any additional effects from the Pokémon's moves, but increases the moves' power.|2024-08-04 13:58:08.956040
56|cute-charm|The Pokémon may infatuate attackers that make direct contact with it.|2024-08-04 13:58:08.956040
98|magic-guard|The Pokémon only takes damage from attacks.|2024-08-04 13:58:08.956040
132|friend-guard|Reduces damage dealt to allies.|2024-08-04 13:58:08.956040
109|unaware|When attacking, the Pokémon ignores the target's stat changes.|2024-08-04 13:58:08.956040
18|flash-fire|If hit by a Fire-type move, the Pokémon absorbs the flames and uses them to power up its own Fire-type moves.|2024-08-04 13:58:08.956040
70|drought|Turns the sunlight harsh when the Pokémon enters a battle.|2024-08-04 13:58:08.956040
172|competitive|Boosts the Pokémon's Sp. Atk stat sharply when its stats are lowered by an opposing Pokémon.|2024-08-04 13:58:08.956040
119|frisk|When it enters a battle, the Pokémon can check an opposing Pokémon's held item.|2024-08-04 13:58:08.956040
39|inner-focus|The Pokémon's intense focus prevents it from flinching or being affected by Intimidate.|2024-08-04 13:58:08.956040
151|infiltrator|The Pokémon's moves are unaffected by the target's barriers, substitutes, and the like.|2024-08-04 13:58:08.956040
1|stench|By releasing a stench when attacking, the Pokémon may cause the target to flinch.|2024-08-04 13:58:08.956040
27|effect-spore|Contact with the Pokémon may inflict poison, sleep, or paralysis on the attacker.|2024-08-04 13:58:08.956040
87|dry-skin|Restores the Pokémon's HP in rain or when it is hit by Water-type moves. Reduces HP in harsh sunlight, and increases the damage received from Fire-type moves.|2024-08-04 13:58:08.956040
6|damp|The Pokémon dampens its surroundings, preventing all Pokémon from using explosive moves such as Self-Destruct.|2024-08-04 13:58:08.956040
147|wonder-skin|Makes status moves more likely to miss the Pokémon.|2024-08-04 13:58:08.956040
71|arena-trap|Prevents opposing Pokémon from fleeing from battle.|2024-08-04 13:58:08.956040
159|sand-force|Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm. |2024-08-04 13:58:08.956040
53|pickup|The Pokémon may pick up an item another Pokémon used during a battle. It may pick up items outside of battle, too.|2024-08-04 13:58:08.956040
101|technician|Powers up weak moves so the Pokémon can deal more damage with them.|2024-08-04 13:58:08.956040
7|limber|The Pokémon's limber body prevents it from being paralyzed.|2024-08-04 13:58:08.956040
13|cloud-nine|Eliminates the effects of weather.|2024-08-04 13:58:08.956040
33|swift-swim|Boosts the Pokémon's Speed stat in rain.|2024-08-04 13:58:08.956040
72|vital-spirit|The Pokémon is full of vitality, and that prevents it from falling asleep.|2024-08-04 13:58:08.956040
83|anger-point|The Pokémon is angered when it takes a critical hit, and that maxes its Attack stat.|2024-08-04 13:58:08.956040
128|defiant|If the Pokémon has any stat lowered by an opposing Pokémon, its Attack stat will be boosted sharply.|2024-08-04 13:58:08.956040
154|justified|When the Pokémon is hit by a Dark-type attack, its Attack stat is boosted by its sense of justice.|2024-08-04 13:58:08.956040
11|water-absorb|If hit by a Water-type move, the Pokémon has its HP restored instead of taking damage.|2024-08-04 13:58:08.956040
28|synchronize|If the Pokémon is burned, paralyzed, or poisoned by another Pokémon, that Pokémon will be inflicted with the same status condition.|2024-08-04 13:58:08.956040
99|no-guard|The Pokémon employs no-guard tactics to ensure incoming and outgoing attacks always land. |2024-08-04 13:58:08.956040
80|steadfast|The Pokémon's determination boosts its Speed stat every time it flinches.|2024-08-04 13:58:08.956040
82|gluttony|If the Pokémon is holding a Berry to be eaten when its HP is low, it will instead eat the Berry when its HP drops to half or less.|2024-08-04 13:58:08.956040
29|clear-body|Prevents other Pokémon's moves or Abilities from lowering the Pokémon's stats.|2024-08-04 13:58:08.956040
64|liquid-ooze|The strong stench of the Pokémon's oozed liquid damages attackers that use HP-draining moves.|2024-08-04 13:58:08.956040
69|rock-head|Protects the Pokémon from recoil damage.|2024-08-04 13:58:08.956040
5|sturdy|The Pokémon cannot be knocked out by a single hit as long as its HP is full. One-hit KO moves will also fail to knock it out.|2024-08-04 13:58:08.956040
49|flame-body|Contact with the Pokémon may burn the attacker.|2024-08-04 13:58:08.956040
12|oblivious|The Pokémon is oblivious, keeping it from being infatuated, falling for taunts, or being affected by Intimidate.|2024-08-04 13:58:08.956040
20|own-tempo|The Pokémon sticks to its own tempo, preventing it from becoming confused or being affected by Intimidate.|2024-08-04 13:58:08.956040
144|regenerator|The Pokémon has a little of its HP restored when withdrawn from battle.|2024-08-04 13:58:08.956040
42|magnet-pull|Prevents Steel-type Pokémon from fleeing by pulling them in with magnetism.|2024-08-04 13:58:08.956040
148|analytic|Boosts the power of the Pokémon's move if it is the last to act that turn.|2024-08-04 13:58:08.956040
48|early-bird|The Pokémon awakens from sleep twice as fast as other Pokémon.|2024-08-04 13:58:08.956040
47|thick-fat|The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves.|2024-08-04 13:58:08.956040
93|hydration|Cures the Pokémon's status conditions in rain.|2024-08-04 13:58:08.956040
115|ice-body|The Pokémon gradually regains HP in snow.|2024-08-04 13:58:08.956040
60|sticky-hold|The Pokémon's held items cling to its sticky body and cannot be removed by other Pokémon.|2024-08-04 13:58:08.956040
143|poison-touch|May poison a target when the Pokémon makes contact.|2024-08-04 13:58:08.956040
75|shell-armor|A hard shell protects the Pokémon from critical hits.|2024-08-04 13:58:08.956040
92|skill-link|Maximizes the number of times multistrike moves hit.|2024-08-04 13:58:08.956040
142|overcoat|The Pokémon takes no damage from sandstorms. It is also protected from the effects of powders and spores.|2024-08-04 13:58:08.956040
26|levitate|By floating in the air, the Pokémon receives full immunity to all Ground-type moves.|2024-08-04 13:58:08.956040
130|cursed-body|May disable a move that has dealt damage to the Pokémon.|2024-08-04 13:58:08.956040
133|weak-armor|The Pokémon's Defense stat is lowered when it takes damage from physical moves, but its Speed stat is sharply boosted.|2024-08-04 13:58:08.956040
15|insomnia|The Pokémon's insomnia prevents it from falling asleep.|2024-08-04 13:58:08.956040
108|forewarn|When it enters a battle, the Pokémon can tell one of the moves an opposing Pokémon has.|2024-08-04 13:58:08.956040
52|hyper-cutter|The Pokémon's prized, mighty pincers prevent other Pokémon from lowering its Attack stat.|2024-08-04 13:58:08.956040
43|soundproof|Soundproofing gives the Pokémon full immunity to all sound-based moves.|2024-08-04 13:58:08.956040
106|aftermath|Damages the attacker if it knocks out the Pokémon with a move that makes direct contact.|2024-08-04 13:58:08.956040
139|harvest|May create another Berry after one is used.|2024-08-04 13:58:08.956040
