pkmn_id|pkmn_id_evolve_to|evol_req_gender|evol_req_held_item|evol_req_item|evol_req_known_move|evol_req_known_move_type|evol_req_location|evol_req_min_affection|evol_req_min_beauty|evol_req_min_happiness|evol_req_min_level|evol_req_needs_overworld_rain|evol_req_party_species|evol_req_party_type|evol_req_relative_physical_stats|evol_req_time_of_day|evol_req_trade_species|evol_req_turn_upside_down|evol_req_baby|transformar_datetime
1|1.0||||||||||||||||||True|2024-08-17 12:10:02.329461
1|2.0||||||||||16.0|False||||||False|False|2024-08-17 12:10:02.329461
1|3.0||||||||||32.0|False||||||False|False|2024-08-17 12:10:02.329461
2|1.0||||||||||||||||||True|2024-08-17 12:10:02.329461
2|2.0||||||||||16.0|False||||||False|False|2024-08-17 12:10:02.329461
2|3.0||||||||||32.0|False||||||False|False|2024-08-17 12:10:02.329461
3|1.0||||||||||||||||||True|2024-08-17 12:10:02.329461
3|2.0||||||||||16.0|False||||||False|False|2024-08-17 12:10:02.329461
3|3.0||||||||||32.0|False||||||False|False|2024-08-17 12:10:02.329461
4|4.0||||||||||||||||||True|2024-08-17 12:10:02.329461
4|5.0||||||||||16.0|False||||||False|False|2024-08-17 12:10:02.329461
4|6.0||||||||||36.0|False||||||False|False|2024-08-17 12:10:02.329461
5|4.0||||||||||||||||||True|2024-08-17 12:10:02.329461
5|5.0||||||||||16.0|False||||||False|False|2024-08-17 12:10:02.329461
5|6.0||||||||||36.0|False||||||False|False|2024-08-17 12:10:02.329461
6|4.0||||||||||||||||||True|2024-08-17 12:10:02.329461
6|5.0||||||||||16.0|False||||||False|False|2024-08-17 12:10:02.329461
6|6.0||||||||||36.0|False||||||False|False|2024-08-17 12:10:02.329461
7|7.0||||||||||||||||||True|2024-08-17 12:10:02.329461
7|8.0||||||||||16.0|False||||||False|False|2024-08-17 12:10:02.329461
7|9.0||||||||||36.0|False||||||False|False|2024-08-17 12:10:02.329461
8|7.0||||||||||||||||||True|2024-08-17 12:10:02.329461
8|8.0||||||||||16.0|False||||||False|False|2024-08-17 12:10:02.329461
8|9.0||||||||||36.0|False||||||False|False|2024-08-17 12:10:02.329461
9|7.0||||||||||||||||||True|2024-08-17 12:10:02.329461
9|8.0||||||||||16.0|False||||||False|False|2024-08-17 12:10:02.329461
9|9.0||||||||||36.0|False||||||False|False|2024-08-17 12:10:02.329461
10|10.0||||||||||||||||||True|2024-08-17 12:10:02.329461
10|11.0||||||||||7.0|False||||||False|False|2024-08-17 12:10:02.329461
10|12.0||||||||||10.0|False||||||False|False|2024-08-17 12:10:02.329461
11|10.0||||||||||||||||||True|2024-08-17 12:10:02.329461
11|11.0||||||||||7.0|False||||||False|False|2024-08-17 12:10:02.329461
