pkmn_id|game_version|id_pokedex_description|transformar_datetime
1|red|1|2024-08-17 12:10:02.328438
1|blue|2|2024-08-17 12:10:02.328438
1|yellow|3|2024-08-17 12:10:02.328438
1|gold|4|2024-08-17 12:10:02.328438
1|silver|5|2024-08-17 12:10:02.328438
1|crystal|6|2024-08-17 12:10:02.328438
1|ruby|7|2024-08-17 12:10:02.328438
1|sapphire|8|2024-08-17 12:10:02.328438
1|emerald|9|2024-08-17 12:10:02.328438
1|firered|10|2024-08-17 12:10:02.328438
1|leafgreen|11|2024-08-17 12:10:02.328438
1|diamond|12|2024-08-17 12:10:02.328438
1|pearl|13|2024-08-17 12:10:02.328438
1|platinum|14|2024-08-17 12:10:02.328438
1|heartgold|15|2024-08-17 12:10:02.328438
1|soulsilver|16|2024-08-17 12:10:02.328438
1|soulsilver|17|2024-08-17 12:10:02.328438
1|black|18|2024-08-17 12:10:02.328438
1|black|19|2024-08-17 12:10:02.328438
1|white|20|2024-08-17 12:10:02.328438
1|black-2|21|2024-08-17 12:10:02.328438
1|white-2|22|2024-08-17 12:10:02.328438
1|white-2|23|2024-08-17 12:10:02.328438
1|white-2|24|2024-08-17 12:10:02.328438
1|white-2|25|2024-08-17 12:10:02.328438
1|white-2|26|2024-08-17 12:10:02.328438
1|white-2|27|2024-08-17 12:10:02.328438
1|white-2|28|2024-08-17 12:10:02.328438
2|red|95|2024-08-17 12:10:02.328438
2|blue|96|2024-08-17 12:10:02.328438
2|yellow|97|2024-08-17 12:10:02.328438
2|gold|98|2024-08-17 12:10:02.328438
2|silver|99|2024-08-17 12:10:02.328438
2|crystal|100|2024-08-17 12:10:02.328438
2|ruby|101|2024-08-17 12:10:02.328438
2|sapphire|102|2024-08-17 12:10:02.328438
2|emerald|103|2024-08-17 12:10:02.328438
2|firered|104|2024-08-17 12:10:02.328438
2|leafgreen|105|2024-08-17 12:10:02.328438
2|diamond|106|2024-08-17 12:10:02.328438
2|pearl|107|2024-08-17 12:10:02.328438
2|platinum|108|2024-08-17 12:10:02.328438
2|heartgold|109|2024-08-17 12:10:02.328438
2|soulsilver|110|2024-08-17 12:10:02.328438
2|soulsilver|111|2024-08-17 12:10:02.328438
2|black|112|2024-08-17 12:10:02.328438
2|black|113|2024-08-17 12:10:02.328438
2|white|114|2024-08-17 12:10:02.328438
2|black-2|115|2024-08-17 12:10:02.328438
2|white-2|116|2024-08-17 12:10:02.328438
2|white-2|117|2024-08-17 12:10:02.328438
2|white-2|118|2024-08-17 12:10:02.328438
2|white-2|119|2024-08-17 12:10:02.328438
2|white-2|120|2024-08-17 12:10:02.328438
2|white-2|121|2024-08-17 12:10:02.328438
2|white-2|122|2024-08-17 12:10:02.328438
3|red|189|2024-08-17 12:10:02.328438
3|blue|190|2024-08-17 12:10:02.328438
3|yellow|191|2024-08-17 12:10:02.328438
3|gold|192|2024-08-17 12:10:02.328438
3|silver|193|2024-08-17 12:10:02.328438
3|crystal|194|2024-08-17 12:10:02.328438
3|ruby|195|2024-08-17 12:10:02.328438
3|sapphire|196|2024-08-17 12:10:02.328438
3|emerald|197|2024-08-17 12:10:02.328438
3|firered|198|2024-08-17 12:10:02.328438
3|leafgreen|199|2024-08-17 12:10:02.328438
3|diamond|200|2024-08-17 12:10:02.328438
3|pearl|201|2024-08-17 12:10:02.328438
3|platinum|202|2024-08-17 12:10:02.328438
3|heartgold|203|2024-08-17 12:10:02.328438
3|soulsilver|204|2024-08-17 12:10:02.328438
3|soulsilver|205|2024-08-17 12:10:02.328438
3|black|206|2024-08-17 12:10:02.328438
3|black|207|2024-08-17 12:10:02.328438
3|white|208|2024-08-17 12:10:02.328438
3|black-2|209|2024-08-17 12:10:02.328438
3|white-2|210|2024-08-17 12:10:02.328438
3|white-2|211|2024-08-17 12:10:02.328438
3|white-2|212|2024-08-17 12:10:02.328438
3|white-2|213|2024-08-17 12:10:02.328438
3|white-2|214|2024-08-17 12:10:02.328438
3|white-2|215|2024-08-17 12:10:02.328438
3|white-2|216|2024-08-17 12:10:02.328438
4|red|283|2024-08-17 12:10:02.328438
4|blue|284|2024-08-17 12:10:02.328438
4|yellow|285|2024-08-17 12:10:02.328438
4|gold|286|2024-08-17 12:10:02.328438
4|silver|287|2024-08-17 12:10:02.328438
4|crystal|288|2024-08-17 12:10:02.328438
4|ruby|289|2024-08-17 12:10:02.328438
4|sapphire|290|2024-08-17 12:10:02.328438
4|emerald|291|2024-08-17 12:10:02.328438
4|firered|292|2024-08-17 12:10:02.328438
4|leafgreen|293|2024-08-17 12:10:02.328438
4|diamond|294|2024-08-17 12:10:02.328438
4|pearl|295|2024-08-17 12:10:02.328438
4|platinum|296|2024-08-17 12:10:02.328438
4|heartgold|297|2024-08-17 12:10:02.328438
4|soulsilver|298|2024-08-17 12:10:02.328438
4|soulsilver|299|2024-08-17 12:10:02.328438
4|black|300|2024-08-17 12:10:02.328438
4|black|301|2024-08-17 12:10:02.328438
4|white|302|2024-08-17 12:10:02.328438
4|black-2|303|2024-08-17 12:10:02.328438
4|white-2|304|2024-08-17 12:10:02.328438
4|white-2|305|2024-08-17 12:10:02.328438
4|white-2|306|2024-08-17 12:10:02.328438
4|white-2|307|2024-08-17 12:10:02.328438
4|white-2|308|2024-08-17 12:10:02.328438
4|white-2|309|2024-08-17 12:10:02.328438
4|white-2|310|2024-08-17 12:10:02.328438
5|red|377|2024-08-17 12:10:02.328438
5|blue|378|2024-08-17 12:10:02.328438
