pkmn_id|name|stat|effort|transformar_datetime
1|hp|45|0|2024-08-17 12:10:02.328438
1|attack|49|0|2024-08-17 12:10:02.328438
1|defense|49|0|2024-08-17 12:10:02.328438
1|special-attack|65|1|2024-08-17 12:10:02.328438
1|special-defense|65|0|2024-08-17 12:10:02.328438
1|speed|45|0|2024-08-17 12:10:02.328438
2|hp|60|0|2024-08-17 12:10:02.328438
2|attack|62|0|2024-08-17 12:10:02.328438
2|defense|63|0|2024-08-17 12:10:02.328438
2|special-attack|80|1|2024-08-17 12:10:02.328438
2|special-defense|80|1|2024-08-17 12:10:02.328438
2|speed|60|0|2024-08-17 12:10:02.328438
3|hp|80|0|2024-08-17 12:10:02.328438
3|attack|82|0|2024-08-17 12:10:02.328438
3|defense|83|0|2024-08-17 12:10:02.328438
3|special-attack|100|2|2024-08-17 12:10:02.328438
3|special-defense|100|1|2024-08-17 12:10:02.328438
3|speed|80|0|2024-08-17 12:10:02.328438
4|hp|39|0|2024-08-17 12:10:02.328438
4|attack|52|0|2024-08-17 12:10:02.328438
4|defense|43|0|2024-08-17 12:10:02.328438
4|special-attack|60|0|2024-08-17 12:10:02.328438
4|special-defense|50|0|2024-08-17 12:10:02.328438
4|speed|65|1|2024-08-17 12:10:02.328438
5|hp|58|0|2024-08-17 12:10:02.328438
5|attack|64|0|2024-08-17 12:10:02.328438
5|defense|58|0|2024-08-17 12:10:02.328438
5|special-attack|80|1|2024-08-17 12:10:02.328438
5|special-defense|65|0|2024-08-17 12:10:02.328438
5|speed|80|1|2024-08-17 12:10:02.328438
6|hp|78|0|2024-08-17 12:10:02.328438
6|attack|84|0|2024-08-17 12:10:02.328438
6|defense|78|0|2024-08-17 12:10:02.328438
6|special-attack|109|3|2024-08-17 12:10:02.328438
6|special-defense|85|0|2024-08-17 12:10:02.328438
6|speed|100|0|2024-08-17 12:10:02.328438
7|hp|44|0|2024-08-17 12:10:02.328438
7|attack|48|0|2024-08-17 12:10:02.328438
7|defense|65|1|2024-08-17 12:10:02.328438
7|special-attack|50|0|2024-08-17 12:10:02.328438
7|special-defense|64|0|2024-08-17 12:10:02.328438
7|speed|43|0|2024-08-17 12:10:02.328438
8|hp|59|0|2024-08-17 12:10:02.328438
8|attack|63|0|2024-08-17 12:10:02.328438
8|defense|80|1|2024-08-17 12:10:02.328438
8|special-attack|65|0|2024-08-17 12:10:02.328438
8|special-defense|80|1|2024-08-17 12:10:02.328438
8|speed|58|0|2024-08-17 12:10:02.328438
9|hp|79|0|2024-08-17 12:10:02.328438
9|attack|83|0|2024-08-17 12:10:02.328438
9|defense|100|0|2024-08-17 12:10:02.328438
9|special-attack|85|0|2024-08-17 12:10:02.328438
9|special-defense|105|3|2024-08-17 12:10:02.328438
9|speed|78|0|2024-08-17 12:10:02.328438
10|hp|45|1|2024-08-17 12:10:02.328438
10|attack|30|0|2024-08-17 12:10:02.328438
10|defense|35|0|2024-08-17 12:10:02.328438
10|special-attack|20|0|2024-08-17 12:10:02.328438
10|special-defense|20|0|2024-08-17 12:10:02.328438
10|speed|45|0|2024-08-17 12:10:02.328438
11|hp|50|0|2024-08-17 12:10:02.328438
11|attack|20|0|2024-08-17 12:10:02.328438
11|defense|55|2|2024-08-17 12:10:02.328438
11|special-attack|25|0|2024-08-17 12:10:02.328438
11|special-defense|25|0|2024-08-17 12:10:02.328438
11|speed|30|0|2024-08-17 12:10:02.328438
12|hp|60|0|2024-08-17 12:10:02.328438
12|attack|45|0|2024-08-17 12:10:02.328438
12|defense|50|0|2024-08-17 12:10:02.328438
12|special-attack|90|2|2024-08-17 12:10:02.328438
12|special-defense|80|1|2024-08-17 12:10:02.328438
12|speed|70|0|2024-08-17 12:10:02.328438
13|hp|40|0|2024-08-17 12:10:02.328438
13|attack|35|0|2024-08-17 12:10:02.328438
13|defense|30|0|2024-08-17 12:10:02.328438
13|special-attack|20|0|2024-08-17 12:10:02.328438
13|special-defense|20|0|2024-08-17 12:10:02.328438
13|speed|50|1|2024-08-17 12:10:02.328438
14|hp|45|0|2024-08-17 12:10:02.328438
14|attack|25|0|2024-08-17 12:10:02.328438
14|defense|50|2|2024-08-17 12:10:02.328438
14|special-attack|25|0|2024-08-17 12:10:02.328438
14|special-defense|25|0|2024-08-17 12:10:02.328438
14|speed|35|0|2024-08-17 12:10:02.328438
15|hp|65|0|2024-08-17 12:10:02.328438
15|attack|90|2|2024-08-17 12:10:02.328438
15|defense|40|0|2024-08-17 12:10:02.328438
15|special-attack|45|0|2024-08-17 12:10:02.328438
15|special-defense|80|1|2024-08-17 12:10:02.328438
15|speed|75|0|2024-08-17 12:10:02.328438
16|hp|40|0|2024-08-17 12:10:02.328438
16|attack|45|0|2024-08-17 12:10:02.328438
16|defense|40|0|2024-08-17 12:10:02.328438
16|special-attack|35|0|2024-08-17 12:10:02.328438
16|special-defense|35|0|2024-08-17 12:10:02.328438
16|speed|56|1|2024-08-17 12:10:02.328438
17|hp|63|0|2024-08-17 12:10:02.328438
17|attack|60|0|2024-08-17 12:10:02.328438
17|defense|55|0|2024-08-17 12:10:02.328438
17|special-attack|50|0|2024-08-17 12:10:02.328438
17|special-defense|50|0|2024-08-17 12:10:02.328438
17|speed|71|2|2024-08-17 12:10:02.328438
18|hp|83|0|2024-08-17 12:10:02.328438
18|attack|80|0|2024-08-17 12:10:02.328438
18|defense|75|0|2024-08-17 12:10:02.328438
18|special-attack|70|0|2024-08-17 12:10:02.328438
18|special-defense|70|0|2024-08-17 12:10:02.328438
18|speed|101|3|2024-08-17 12:10:02.328438
19|hp|30|0|2024-08-17 12:10:02.328438
19|attack|56|0|2024-08-17 12:10:02.328438
19|defense|35|0|2024-08-17 12:10:02.328438
19|special-attack|25|0|2024-08-17 12:10:02.328438
19|special-defense|35|0|2024-08-17 12:10:02.328438
19|speed|72|1|2024-08-17 12:10:02.328438
20|hp|55|0|2024-08-17 12:10:02.328438
20|attack|81|0|2024-08-17 12:10:02.328438
20|defense|60|0|2024-08-17 12:10:02.328438
20|special-attack|50|0|2024-08-17 12:10:02.328438
20|special-defense|70|0|2024-08-17 12:10:02.328438
20|speed|97|2|2024-08-17 12:10:02.328438
21|hp|40|0|2024-08-17 12:10:02.328438
21|attack|60|0|2024-08-17 12:10:02.328438
21|defense|30|0|2024-08-17 12:10:02.328438
21|special-attack|31|0|2024-08-17 12:10:02.328438
21|special-defense|31|0|2024-08-17 12:10:02.328438
21|speed|70|1|2024-08-17 12:10:02.328438
22|hp|65|0|2024-08-17 12:10:02.328438
22|attack|90|0|2024-08-17 12:10:02.328438
22|defense|65|0|2024-08-17 12:10:02.328438
22|special-attack|61|0|2024-08-17 12:10:02.328438
22|special-defense|61|0|2024-08-17 12:10:02.328438
22|speed|100|2|2024-08-17 12:10:02.328438
23|hp|35|0|2024-08-17 12:10:02.328438
23|attack|60|1|2024-08-17 12:10:02.328438
23|defense|44|0|2024-08-17 12:10:02.328438
23|special-attack|40|0|2024-08-17 12:10:02.328438
23|special-defense|54|0|2024-08-17 12:10:02.328438
23|speed|55|0|2024-08-17 12:10:02.328438
24|hp|60|0|2024-08-17 12:10:02.328438
24|attack|95|2|2024-08-17 12:10:02.328438
24|defense|69|0|2024-08-17 12:10:02.328438
24|special-attack|65|0|2024-08-17 12:10:02.328438
24|special-defense|79|0|2024-08-17 12:10:02.328438
24|speed|80|0|2024-08-17 12:10:02.328438
25|hp|35|0|2024-08-17 12:10:02.328438
25|attack|55|0|2024-08-17 12:10:02.328438
25|defense|40|0|2024-08-17 12:10:02.328438
25|special-attack|50|0|2024-08-17 12:10:02.328438
25|special-defense|50|0|2024-08-17 12:10:02.328438
25|speed|90|2|2024-08-17 12:10:02.328438
